ID;request_ID;addressType_code;name1;street;city;postalCode;country_code;isDefault
20000000-0000-0000-0000-000000000010;10000000-0000-0000-0000-000000000010;BILL_TO;Acme Corp;Hauptstrasse 42;Munich;80331;DE;true
20000000-0000-0000-0000-000000000011;10000000-0000-0000-0000-000000000011;BILL_TO;Tech Solutions;Oxford Street 100;London;W1D 1LL;GB;true
20000000-0000-0000-0000-000000000012;10000000-0000-0000-0000-000000000012;BILL_TO;Global Trade;Fifth Avenue 500;New York;10110;US;true
20000000-0000-0000-0000-000000000013;10000000-0000-0000-0000-000000000013;BILL_TO;Fromagerie;Rue de Rivoli 25;Paris;75001;FR;true
20000000-0000-0000-0000-000000000014;10000000-0000-0000-0000-000000000014;BILL_TO;Industrias;Gran Via 88;Madrid;28013;ES;true
20000000-0000-0000-0000-000000000015;10000000-0000-0000-0000-000000000015;BILL_TO;Soylent Corp;Green Street 123;New York;10001;US;true
20000000-0000-0000-0000-000000000016;10000000-0000-0000-0000-000000000016;BILL_TO;Soylent Ind;Industriestrasse 45;Frankfurt;60594;DE;true
20000000-0000-0000-0000-000000000017;10000000-0000-0000-0000-000000000017;BILL_TO;Acme Dup;Hauptstrasse 42;Munich;80331;DE;true
20000000-0000-0000-0000-000000000018;10000000-0000-0000-0000-000000000018;BILL_TO;Tech Dup;Oxford Street 100;London;W1D 1LL;GB;true
20000000-0000-0000-0000-000000000019;10000000-0000-0000-0000-000000000019;BILL_TO;Global Dup;Fifth Avenue 500;New York;10110;US;true
20000000-0000-0000-0000-000000000020;10000000-0000-0000-0000-000000000020;SHIP_TO;Acme Corp;Hauptstrasse 42;Munich;80331;DE;true
20000000-0000-0000-0000-000000000021;10000000-0000-0000-0000-000000000021;SHIP_TO;Tech Solutions;Oxford Street 100;London;W1D 1LL;GB;true
20000000-0000-0000-0000-000000000022;10000000-0000-0000-0000-000000000022;SHIP_TO;Global Trade;Fifth Avenue 500;New York;10110;US;true
20000000-0000-0000-0000-000000000023;10000000-0000-0000-0000-000000000023;SHIP_TO;Fromagerie;Rue de Rivoli 25;Paris;75001;FR;true
20000000-0000-0000-0000-000000000024;10000000-0000-0000-0000-000000000024;SHIP_TO;Industrias;Gran Via 88;Madrid;28013;ES;true
20000000-0000-0000-0000-000000000025;10000000-0000-0000-0000-000000000025;SHIP_TO;Soylent Corp;Green Street 123;New York;10001;US;true
20000000-0000-0000-0000-000000000026;10000000-0000-0000-0000-000000000026;SHIP_TO;Soylent Ind;Industriestrasse 45;Frankfurt;60594;DE;true
20000000-0000-0000-0000-000000000027;10000000-0000-0000-0000-000000000027;SHIP_TO;Acme Dup;Hauptstrasse 42;Munich;80331;DE;true
20000000-0000-0000-0000-000000000028;10000000-0000-0000-0000-000000000028;SHIP_TO;Tech Dup;Oxford Street 100;London;W1D 1LL;GB;true
20000000-0000-0000-0000-000000000029;10000000-0000-0000-0000-000000000029;SHIP_TO;Global Dup;Fifth Avenue 500;New York;10110;US;true
e2e00001-0000-0000-0000-000000000001;e2e00000-0000-0000-0000-000000000001;BILL_TO;Test Partner GmbH;Teststrasse 123;Berlin;10115;DE;true
e2e00001-0000-0000-0000-000000000002;e2e00000-0000-0000-0000-000000000001;SHIP_TO;Test Partner GmbH;Teststrasse 123;Berlin;10115;DE;false
e2e00001-0000-0000-0000-000000000003;e2e00000-0000-0000-0000-000000000002;BILL_TO;Test Partner GmbH;Teststrasse 123;Berlin;10115;DE;true
e2e00001-0000-0000-0000-000000000004;e2e00000-0000-0000-0000-000000000002;SHIP_TO;Test Partner GmbH;Teststrasse 123;Berlin;10115;DE;false
